WKT,id,name,alt_name,latitude,longitude
"POINT (124.09015 0.65557)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
"POINT (121.4845201 -1.430189)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.430189,121.4845201
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (122.2223401 -4.1027676)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.1027676,122.2223401
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.3204786 -2.8212273)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.8212273,119.3204786
