WKT,id,province_id,name,alt_name,latitude,longitude,layer
"POINT (105.75 -6.63333)",3601.0,36.0,KABUPATEN PANDEGLANG,KABUPATEN PANDEGLANG,-6.63333,105.75,Banten
"POINT (106.21667 -6.65)",3602.0,36.0,KABUPATEN LEBAK,KABUPATEN LEBAK,-6.65,106.21667,Banten
"POINT (106.46667 -6.2)",3603.0,36.0,KABUPATEN TANGERANG,KABUPATEN TANGERANG,-6.2,106.46667,Banten
"POINT (105.9969101 -6.135663)",3604.0,36.0,KABUPATEN SERANG,KABUPATEN SERANG,-6.135663,105.9969101,Banten
"POINT (106.6298242 -6.1759414)",3671.0,36.0,KOTA TANGERANG,KOTA TANGERANG,-6.1759414,106.6298242,Banten
"POINT (106.0559804 -6.0200843)",3672.0,36.0,KOTA CILEGON,KOTA CILEGON,-6.0200843,106.0559804,Banten
"POINT (106.1404199 -6.1260994)",3673.0,36.0,KOTA SERANG,KOTA SERANG,-6.1260994,106.1404199,Banten
"POINT (106.7111526 -6.2857958)",3674.0,36.0,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN,-6.2857958,106.7111526,Banten
